method,schedule,role,N,theta,w,m_base,s,pi,lambda_init,H,inverse_H,predicted_half_time,n_runs,n_events,n_censored,event_fraction,median_t_half,median_censored,t_half_ci_low,t_half_ci_high,bootstrap_undefined_fraction,half_time_estimator,median_over_predicted,median_final_lambda,median_final_exact_excess_risk,mode_weight_config_hash,reportable,chosen_learning_rate,config_hash,git_hash,branch_T,kl_impl,python,numpy,platform
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.1,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,1489.0,False,1489.0,1489.0,0.0,median,1.6111309854054665,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.3,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,1013.0,False,1013.0,1013.0,0.0,median,1.0960884407090246,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.4,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,945.0,False,945.0,945.0,0.0,median,1.0225109343238186,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.6,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,945.0,False,945.0,945.0,0.0,median,1.0225109343238186,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.7,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,1013.0,False,1013.0,1013.0,0.0,median,1.0960884407090246,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,"s=0,pi=0.03",full_mask_control,63,0.8,0.5,31,0,0.03,0.9,0.00750000604463778,133.33322587319276,924.195495889659,1,1,0,1.0,1489.0,False,1489.0,1489.0,0.0,median,1.6111309854054665,0.5,0.0,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,blind,blind,63,0.8,0.5,31,1,0.0,0.1,6.231585340108772e-09,160472808.3500089,1112312746.6434512,1,0,1,0.0,inf,True,,inf,1.0,Kaplan-Meier median,inf,0.10001621005746784,1.7647489783256557e-08,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,blind,blind,63,0.8,0.5,31,1,0.0,0.3,6.231585340108772e-09,160472808.3500089,1112312746.6434512,1,0,1,0.0,inf,True,,inf,1.0,Kaplan-Meier median,inf,0.3000117468626502,2.3039282530105133e-09,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,blind,blind,63,0.8,0.5,31,1,0.0,0.4,6.231585340108772e-09,160472808.3500089,1112312746.6434512,1,0,1,0.0,inf,True,,inf,1.0,Kaplan-Meier median,inf,0.4000061489617131,5.157811270131895e-10,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,blind,blind,63,0.8,0.5,31,1,0.0,0.6,6.231585340108772e-09,160472808.3500089,1112312746.6434512,1,0,1,0.0,inf,True,,inf,1.0,Kaplan-Meier median,inf,0.5999938510382868,5.157811270131895e-10,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
population_gd,blind,blind,63,0.8,0.5,31,1,0.0,0.7,6.231585340108772e-09,160472808.3500089,1112312746.6434512,1,0,1,0.0,inf,True,,inf,1.0,Kaplan-Meier median,inf,0.6999882531373499,2.303928253010505e-09,f2e27b4556cf5168,True,0.1,b2b307b011a34ca9,1bae1ba,30.0,stable,3.11.5,1.26.4,Windows-10-10.0.26200-SP0
